created_at,id,text,hashtags,urls,source,in_reply_to_status_id,usr_id,usr_name,screen_name,usr_location,usr_url,protected,followers_count,friends_count,usr_created,geo_enabled,verified,usr_lang,geo,id,place_type,name,country_code,retweet_count,favorite_count,favorited,lang
Mon Apr 22 00:32:24 +0000 2019,1120123148718895104,Tonight there will be some poor unfortunate souls 😈 Tune in to @AmericanIdol now and VOTE! https://t.co/KniCa7w3Ig,[],[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,2466,18726,False,en
Sun Apr 21 23:52:17 +0000 2019,1120113055189196800,"Ready for my close-up, all I want is their voice #DisneyNight #AmericanIdol https://t.co/CQwDEzMFX5","['DisneyNight', 'AmericanIdol']",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,894,7937,False,en
Sun Apr 21 23:35:51 +0000 2019,1120108919806840833,"DISNEY NIGHT ON @AMERICANIDOL IS COMING IN 30 MINUTES!!! Trust, it’s not gonna SUCK-TION 🐙😈 https://t.co/c2YBS2Czor",[],[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,689,6162,False,en
Sun Apr 21 21:10:26 +0000 2019,1120072321539067904,this bb girl is all about rebirth season 🐣 hope you are cuddling up with your fam and friends in your pastel Sunday… https://t.co/lA8sGADPpW,[],['https://twitter.com/i/web/status/1120072321539067904'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,1380,9008,False,en
Fri Apr 19 18:05:10 +0000 2019,1119300922620780544,"Como te llamas, baby? link in bio bb. https://t.co/RHRwqNIeSt",[],['https://www.instagram.com/p/Bwck_cunyFy/?utm_source=ig_twitter_share&igshid=13v38u93ajpry'],"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,2276,14222,False,es
Fri Apr 19 04:14:49 +0000 2019,1119091961023963136,This is what you get when a Puerto Rican boy and a California Gurl meet! I hope this song gives u permission to mov… https://t.co/fxbIA32P31,[],['https://twitter.com/i/web/status/1119091961023963136'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,9714,38779,False,en
Fri Apr 19 01:00:27 +0000 2019,1119043044399935489,"Sure, the Mueller report is out, but @lildickytweets’ ""Earth"" but will be too tonight. Don't say I never tried to s… https://t.co/pjqif6ujrI",[],['https://twitter.com/i/web/status/1119043044399935489'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,3266,16203,False,en
Thu Apr 18 01:49:22 +0000 2019,1118692966191616000,"sure, borrow from tomorrow... you’ll have to pay another day.",[],[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,2819,20135,False,en
Wed Apr 17 23:33:44 +0000 2019,1118658835688894464,got to sneak peak a beautiful gem of a film #TeenSpirit the other day starring ellefanning directed by maxminghella… https://t.co/y9FY7L2N90,['TeenSpirit'],['https://twitter.com/i/web/status/1118658835688894464'],"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,"{'type': 'Point', 'coordinates': [34.09739637, -118.32787582]}",3b77caf94bfc81fe,city,Los Angeles,US,658,5713,False,en
Thu Apr 25 07:24:56 +0000 2019,1121314130672013312,"Thanks @MadhuriDixit for stepping in for me.  I made one request she was up for it.  Too sweet  
Please watch. 
Lov… https://t.co/JXXIvrhwW9",[],['https://twitter.com/i/web/status/1121314130672013312'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,509,6817,False,en
Wed Apr 24 10:51:28 +0000 2019,1121003717392621571,"Hey @sachin_rt, wishing you a very happy birthday. May this happy and special day return again and again! 
Lots of… https://t.co/x4tX4mTri5",[],['https://twitter.com/i/web/status/1121003717392621571'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,2566,46678,False,en
Wed Apr 24 08:24:11 +0000 2019,1120966652747603968,"RT @ECISVEEP: Straight from the mouth of Mr. Perfectionist!
@aamir_khan, #ECI National Icon makes a passionate appeal to all Indians to #Go…",['ECI'],[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,533,0,False,en
Mon Apr 22 05:21:05 +0000 2019,1120195799634198529,"Fight drought! Make a measurable impact! To donate, visit https://t.co/lm37Xlw07o.

@paanifoundation #WaterCup2019… https://t.co/WKsxbgmoDp",['WaterCup2019'],"['http://www.jalmitra.org', 'https://twitter.com/i/web/status/1120195799634198529']","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,394,2559,False,en
Sun Apr 21 08:11:38 +0000 2019,1119876332534427649,@paanifoundation #watercup2019 #toofanaalaya,"['watercup2019', 'toofanaalaya']",[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1198709816888115e+18,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,120,800,False,und
Sun Apr 21 07:50:22 +0000 2019,1119870981688811520,"Hey guys, last date for registration is 23rd April.  

Click now on https://t.co/SATf06MU9l

Love. 
a. https://t.co/1lDQEAbDln",[],['http://Jalmitra.org'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,727,5928,False,en
Sat Apr 20 16:18:36 +0000 2019,1119636494790959104,"Hey guys, here is the second episode of Toofan Aalaya. Please watch.
@paanifoundation #WaterCup2019 #ToofanAalaya
L… https://t.co/qFrby6Ltpc","['WaterCup2019', 'ToofanAalaya']",['https://twitter.com/i/web/status/1119636494790959104'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,403,4614,False,en
Fri Apr 19 13:18:14 +0000 2019,1119228716301737989,Thanks @ajinkyarahane88 for your support  and wishes. Love. a https://t.co/0gLp3MBrET,[],['https://twitter.com/ajinkyarahane88/status/1119120805072216064'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,657,8438,False,en
Fri Apr 12 16:42:06 +0000 2019,1116743304115154944,"Hey guys,
Please watch the first episode of Kiran &amp; my TV show, Toofan Aalaya. 
Tell me what you think ?… https://t.co/lUwYXJWW6w",[],['https://twitter.com/i/web/status/1116743304115154944'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,667,6610,False,en
Sun Apr 07 00:36:01 +0000 2019,1114688243692462080,"Ran into one of my favourite actors, Superstar Chiranjeevi Garu at Kyoto airport! What a pleasant surprise :-) . 
D… https://t.co/DyqyVVZNHf",[],['https://twitter.com/i/web/status/1114688243692462080'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,7461,82098,False,en
Sat Apr 06 08:15:55 +0000 2019,1114441590347456513,"रेशमाची गुढी सजली, नवीन वर्षाच्या सणाला सुरवात झाली.
सर्वांना  नववर्षाच्या आणि गुढीपाडव्याच्या हार्दिक शुभेच्छा.

प… https://t.co/pJVUe5g0Zs",[],['https://twitter.com/i/web/status/1114441590347456513'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,1154,16542,False,mr
Wed Mar 27 04:32:19 +0000 2019,1110761442515529728,#VivoV15 @Vivo_India https://t.co/EPeM4qAQpY,['VivoV15'],[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,469,7204,False,und
Mon Mar 25 07:16:49 +0000 2019,1110078065428688896,"Hey guys,check out my new series of ads.
@PhonePe_ https://t.co/VgOKoPuVZg",[],[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,643,8116,False,en
Fri Mar 22 06:24:24 +0000 2019,1108977710246883329,The cutest in the world... mazi baiko ❤ https://t.co/1azLWw0jSF,[],[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,2229,50232,False,en
Thu Mar 21 04:35:50 +0000 2019,1108588001809043457,Coming Soon...aapke phone pe... https://t.co/0yoTvs2ji5,[],[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,1786,23804,False,en
Thu Mar 14 14:01:59 +0000 2019,1106193760180887552,"Thanks @avigowariker
You always shoot me well. And this time I have my hand on the focus... so no stress ;-) https://t.co/tGPfgv1cwh",[],['https://twitter.com/avigowariker/status/1106086972483866625'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,743,11900,False,en
Thu Mar 14 10:45:53 +0000 2019,1106144411572830208,"Thanks Sachin! 
Aata kya khandala ? 
Love. 
a. https://t.co/wkfE5VViho",[],['https://twitter.com/sachin_rt/status/1106050393774215169'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,1601,29262,False,tl
Wed Mar 13 10:52:39 +0000 2019,1105783727655776257,"Remembering my uncle,  Nasir Husain, Chachajaan for me,  my guru. Today is his death anniversary. It's been 17 year… https://t.co/QTQNhIhVG8",[],['https://twitter.com/i/web/status/1105783727655776257'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,815,16999,False,en
Wed Mar 13 07:50:37 +0000 2019,1105737914653143041,"Absolutely right sir, Hon PM. Let us all engage as citizens of the biggest democracy in the world. Let us fulfill o… https://t.co/7AH98goSn1",[],['https://twitter.com/i/web/status/1105737914653143041'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,1698,13581,False,en
Tue Mar 12 18:14:17 +0000 2019,1105532479958478848,".@TSeries @itsBhushanKumar 
https://t.co/Etw9pjNhZj https://t.co/yrQvsS9K0r",[],['https://www.youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA'],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,88856792,Aamir Khan,aamir_khan,Mumbai,https://t.co/pq6VrNUfm2,False,24673841,9,Tue Nov 10 05:08:56 +0000 2009,True,True,en,,,,,,844,10257,False,und
Fri Apr 26 19:04:56 +0000 2019,1121852680098467842,Lovers of VR and puzzles and creativity: there’s only a few hours left to back @firmamentgame on the Kickstarter. I… https://t.co/uhPOc4X4iY,[],['https://twitter.com/i/web/status/1121852680098467842'],"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,56,423,False,en
Thu Apr 25 21:19:54 +0000 2019,1121524255353556998,"I love escape rooms, and The Basement in L.A. is easily the best I’ve ever done. Great puzzles, stellar production… https://t.co/vb3f2yUdUx",[],['https://twitter.com/i/web/status/1121524255353556998'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,24,1207,False,en
Wed Apr 24 15:41:52 +0000 2019,1121076802112253953,So proud of my husband @Davidburtka and his amazing cookbook. Last night’s LA launch event was awesome and the food… https://t.co/SUv5ZIuaTs,[],['https://twitter.com/i/web/status/1121076802112253953'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,134,3846,False,en
